Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                           25,729,776.1670                                            NY                       
              05/01/2013                85,225,636.5700  CO-1110 STATE DEPOSITS      3291984       NY                       
              05/01/2013               -26,035,190.0000  DI-2110 STATE UI WITHDRAW   3292001       NY                       
              05/01/2013               -59,190,446.5700  DI-3310 LOAN REPAYMNT FRO   3292002       NY                       
              05/02/2013               100,941,110.9100  CO-1110 STATE DEPOSITS      3292003       NY                       
              05/02/2013               -10,660,260.0000  DI-2110 STATE UI WITHDRAW   3292020       NY                       
              05/02/2013               -90,280,850.9100  DI-3310 LOAN REPAYMNT FRO   3292021       NY                       
              05/03/2013               335,188,800.5400  CO-1110 STATE DEPOSITS      3292022       NY                       
              05/03/2013                -2,162,020.0000  DI-2110 STATE UI WITHDRAW   3292043       NY                       
              05/03/2013                -1,486,260.5000  DI-3460 CWC OUT             3292044       NY                       
              05/03/2013                  -198,980.0700  DI-3460 CWC OUT             3292045       NY                       
              05/03/2013                   -19,017.3100  DI-3460 CWC OUT             3292046       NY                       
              05/03/2013              -331,322,522.6600  DI-3310 LOAN REPAYMNT FRO   3292047       NY                       
              05/06/2013               820,727,417.9900  CO-1110 STATE DEPOSITS      3292048       NY                       
              05/06/2013                  -233,677.1400  DI-2180 W/D FOR SPEC ADMI   3292069       NY                       
              05/06/2013                -3,215,940.0000  DI-2110 STATE UI WITHDRAW   3292070       NY                       
              05/06/2013                    23,816.1400  CO-3461 CWC IN              3292071       NY                       
              05/06/2013              -817,535,294.1300  DI-3310 LOAN REPAYMNT FRO   3292072       NY                       
              05/07/2013                78,515,057.2700  CO-1110 STATE DEPOSITS      3292074       NY                       
              05/07/2013               -11,427,830.0000  DI-2110 STATE UI WITHDRAW   3292091       NY                       
              05/07/2013               -67,087,227.2700  DI-3310 LOAN REPAYMNT FRO   3292092       NY                       
              05/08/2013                21,406,671.9900  CO-1110 STATE DEPOSITS      3292093       NY                       
              05/08/2013               -21,406,671.9900  DI-2110 STATE UI WITHDRAW   3292110       NY                       
              05/09/2013                 7,156,047.8500  CO-1110 STATE DEPOSITS      3292111       NY                       
              05/09/2013                -7,156,047.8500  DI-2110 STATE UI WITHDRAW   3292128       NY                       
              05/10/2013                 1,674,940.1600  CO-1110 STATE DEPOSITS      3292129       NY                       
              05/10/2013                -1,674,940.1600  DI-2110 STATE UI WITHDRAW   3292150       NY                       
              05/13/2013                 1,361,730.1700  CO-1110 STATE DEPOSITS      3292151       NY                       
              05/13/2013                -1,361,730.1700  DI-2110 STATE UI WITHDRAW   3292172       NY                       
              05/14/2013                 2,311,812.1400  CO-1110 STATE DEPOSITS      3292173       NY                       
              05/14/2013                -2,311,812.1400  DI-2110 STATE UI WITHDRAW   3292190       NY                       
              05/14/2013                     3,959.9000  CO-3461 CWC IN              3292191       NY                       
              05/14/2013                    -3,959.9000  DI-3310 LOAN REPAYMNT FRO   3292192       NY                       
              05/15/2013                 1,608,505.1800  CO-1110 STATE DEPOSITS      3292193       NY                       
              05/15/2013                -1,657,756.5000  DI-2110 STATE UI WITHDRAW   3292210       NY                       
              05/15/2013                    42,169.9600  CO-3461 CWC IN              3292211       NY                       
              05/15/2013                    26,001.4300  CO-3461 CWC IN              3292212       NY                       
              05/15/2013                    73,929.6400  CO-3461 CWC IN              3292213       NY                       
              05/15/2013                        71.8900  CO-3461 CWC IN              3292214       NY                       
              05/15/2013                     5,365.4700  CO-3461 CWC IN              3292215       NY                       
              05/15/2013                    23,249.8900  CO-3461 CWC IN              3292216       NY                       
              05/15/2013                  -121,536.9600  DI-3310 LOAN REPAYMNT FRO   3292217       NY                       
