Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                                    0.0000                                            NY                       
              05/01/2008                46,460,691.2200  CO-1110 STATE DEPOSITS      3230673       NY                       
              05/01/2008                -8,247,000.0000  DI-2110 STATE UI WITHDRAW   3230829       NY                       
              05/01/2008                  -193,787.4700  DI-3480 FEDTAX W/D FROM U   3230941       NY                       
              05/01/2008               -38,019,903.7500  DI-3310 LOAN REPAYMNT FRO   3230984       NY                       
              05/02/2008                67,135,564.0200  CO-1110 STATE DEPOSITS      3231113       NY                       
              05/02/2008                  -151,481.9900  DI-3480 FEDTAX W/D FROM U   3231163       NY                       
              05/02/2008                  -768,000.0000  DI-2110 STATE UI WITHDRAW   3231284       NY                       
              05/02/2008                    18,195.8100  CO-3461 CWC IN              3231461       NY                       
              05/02/2008               -41,191,932.9900  DI-3310 LOAN REPAYMNT FRO   3231471       NY                       
              05/05/2008               289,008,814.8500  CO-1110 STATE DEPOSITS      3231489       NY                       
              05/05/2008                  -108,757.6500  DI-3480 FEDTAX W/D FROM U   3232001       NY                       
              05/05/2008                -2,198,000.0000  DI-2110 STATE UI WITHDRAW   3232140       NY                       
              05/05/2008                     6,128.8900  CO-3461 CWC IN              3232213       NY                       
              05/05/2008                    50,805.2600  CO-3461 CWC IN              3232251       NY                       
              05/05/2008                    60,496.9200  CO-3461 CWC IN              3232269       NY                       
              05/05/2008                    40,805.5300  CO-3461 CWC IN              3232303       NY                       
              05/05/2008                    87,489.8100  CO-3461 CWC IN              3232331       NY                       
              05/06/2008               567,720,149.5600  CO-1110 STATE DEPOSITS      3232822       NY                       
              05/06/2008                -1,146,678.5400  DI-3480 FEDTAX W/D FROM U   3232861       NY                       
              05/06/2008               -24,941,000.0000  DI-2110 STATE UI WITHDRAW   3233007       NY                       
              05/06/2008                    -5,952.9400  DI-3460 CWC OUT             3233066       NY                       
              05/06/2008                   -49,607.9800  DI-3460 CWC OUT             3233068       NY                       
              05/06/2008                  -178,452.2000  DI-3460 CWC OUT             3233070       NY                       
              05/06/2008                   101,008.0400  CO-3461 CWC IN              3233115       NY                       
              05/06/2008                    19,871.2300  CO-3461 CWC IN              3233131       NY                       
              05/07/2008               152,594,815.5100  CO-1110 STATE DEPOSITS      3233490       NY                       
              05/07/2008                  -660,728.7300  DI-3480 FEDTAX W/D FROM U   3233506       NY                       
              05/07/2008               -15,204,000.0000  DI-2110 STATE UI WITHDRAW   3233648       NY                       
              05/07/2008                    49,285.2700  CO-3461 CWC IN              3233711       NY                       
              05/07/2008                     2,120.1700  CO-3461 CWC IN              3233723       NY                       
              05/07/2008                    33,073.3700  CO-3461 CWC IN              3233767       NY                       
              05/08/2008                10,028,734.8500  CO-1110 STATE DEPOSITS      3234096       NY                       
              05/08/2008                  -196,893.3500  DI-3480 FEDTAX W/D FROM U   3234111       NY                       
              05/08/2008                -8,128,000.0000  DI-2110 STATE UI WITHDRAW   3234239       NY                       
              05/08/2008                   -16,411.0300  DI-3460 CWC OUT             3234297       NY                       
              05/08/2008                   -78,190.4400  DI-3460 CWC OUT             3234299       NY                       
              05/08/2008                    34,063.6500  CO-3461 CWC IN              3234310       NY                       
              05/08/2008                    24,333.1000  CO-3461 CWC IN              3234358       NY                       
              05/08/2008                     6,089.3500  CO-3461 CWC IN              3234372       NY                       
              05/08/2008                    15,553.6300  CO-3461 CWC IN              3234384       NY                       
              05/08/2008                    28,960.9400  CO-3461 CWC IN              3234396       NY                       
              05/09/2008                  -151,406.4100  DI-3480 FEDTAX W/D FROM U   3234701       NY                       
              05/09/2008                -3,269,000.0000  DI-2110 STATE UI WITHDRAW   3234841       NY                       
