Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                           59,550,668.3700                                            NY                       
              06/01/2005                 4,292,497.0100  CO-1110 STATE DEPOSITS      2158368       NY                       
              06/01/2005                -1,471,668.0000  DI-3480 FEDTAX W/D FROM U   2161131       NY                       
              06/01/2005               -11,917,000.0000  DI-2110 STATE UI WITHDRAW   2161284       NY                       
              06/01/2005                   114,644.0200  CO-3461 CWC IN              2161350       NY                       
              06/01/2005                 7,094,530.5400  DI-3120 REFUND OF REDUCED   2161367       NY                       
              06/02/2005                  -365,616.6500  DI-3480 FEDTAX W/D FROM U   2164656       NY                       
              06/02/2005                -8,095,000.0000  DI-2110 STATE UI WITHDRAW   2176891       NY                       
              06/03/2005                   318,789.2200  CO-1110 STATE DEPOSITS      2184281       NY                       
              06/03/2005                -6,329,000.0000  DI-2110 STATE UI WITHDRAW   2184484       NY                       
              06/03/2005                  -294,204.0700  DI-3480 FEDTAX W/D FROM U   2184541       NY                       
              06/06/2005                   338,954.7400  CO-1110 STATE DEPOSITS      2185301       NY                       
              06/06/2005                  -135,771.0300  DI-3480 FEDTAX W/D FROM U   2185935       NY                       
              06/06/2005                -7,099,000.0000  DI-2110 STATE UI WITHDRAW   2186057       NY                       
              06/07/2005                 1,602,079.6300  CO-1110 STATE DEPOSITS      2186317       NY                       
              06/07/2005                -1,033,646.6900  DI-3480 FEDTAX W/D FROM U   2186345       NY                       
              06/07/2005               -17,997,000.0000  DI-2110 STATE UI WITHDRAW   2186494       NY                       
              06/08/2005                  -683,486.8600  DI-3480 FEDTAX W/D FROM U   2188915       NY                       
              06/08/2005                -7,265,000.0000  DI-2110 STATE UI WITHDRAW   2189038       NY                       
              06/09/2005                   815,266.4500  CO-1110 STATE DEPOSITS      2189268       NY                       
              06/09/2005                  -216,916.4000  DI-3480 FEDTAX W/D FROM U   2189298       NY                       
              06/09/2005                -6,407,000.0000  DI-2110 STATE UI WITHDRAW   2189444       NY                       
              06/10/2005                   563,453.6800  CO-1110 STATE DEPOSITS      2192327       NY                       
              06/10/2005                  -257,344.0600  DI-3480 FEDTAX W/D FROM U   2192357       NY                       
              06/10/2005                   257,344.0600  CO-3450 BT TO STATE UI AC   2192380       NY                       
              06/10/2005                -5,380,573.9600  DI-2110 STATE UI WITHDRAW   2192529       NY                       
              06/13/2005                   651,543.7800  CO-1110 STATE DEPOSITS      2197504       NY                       
              06/13/2005                  -117,720.9500  DI-3480 FEDTAX W/D FROM U   2197535       NY                       
              06/13/2005                   117,720.9500  CO-3450 BT TO STATE UI AC   2197560       NY                       
              06/13/2005                   774,492.3400  CO-3461 CWC IN              2197584       NY                       
              06/13/2005                  -651,543.7800  DI-2110 STATE UI WITHDRAW   2197710       NY                       
              06/13/2005                  -774,492.3400  DI-3310 LOAN REPAYMNT FRO   2197782       NY                       
              06/14/2005                   654,511.4000  CO-1110 STATE DEPOSITS      2197924       NY                       
              06/14/2005                 1,024,260.4400  CO-3450 BT TO STATE UI AC   2197977       NY                       
              06/14/2005                  -654,511.4000  DI-2110 STATE UI WITHDRAW   2198102       NY                       
              06/14/2005                -1,024,260.4400  DI-3480 FEDTAX W/D FROM U   2198165       NY                       
              06/15/2005                   253,851.0400  CO-1110 STATE DEPOSITS      2204122       NY                       
              06/15/2005                   671,750.2900  CO-3450 BT TO STATE UI AC   2204167       NY                       
              06/15/2005                  -253,851.0400  DI-2110 STATE UI WITHDRAW   2204313       NY                       
              06/15/2005                  -671,750.2900  DI-3480 FEDTAX W/D FROM U   2204380       NY                       
              06/16/2005                   327,132.4200  CO-1110 STATE DEPOSITS      2204523       NY                       
