Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                           18,574,886.6570                                            NY                       
              01/01/2014                  -129,228.1100  CO-5440 DIST QUART EARNIN   3295782       NY                       
              01/02/2014                 1,666,352.4800  CO-1110 STATE DEPOSITS      3295783       NY                       
              01/02/2014                -1,666,352.4800  DI-2110 STATE UI WITHDRAW   3295802       NY                       
              01/03/2014                   240,825.8200  CO-1110 STATE DEPOSITS      3295804       NY                       
              01/03/2014                  -240,825.8200  DI-2110 STATE UI WITHDRAW   3295825       NY                       
              01/06/2014                   475,326.6400  CO-1110 STATE DEPOSITS      3295826       NY                       
              01/06/2014                  -475,326.6400  DI-2110 STATE UI WITHDRAW   3295847       NY                       
              01/07/2014                 1,747,115.6200  CO-1110 STATE DEPOSITS      3295848       NY                       
              01/07/2014                -1,747,115.6200  DI-2110 STATE UI WITHDRAW   3295865       NY                       
              01/08/2014                 1,304,056.8300  CO-1110 STATE DEPOSITS      3295866       NY                       
              01/08/2014                -1,304,056.8300  DI-2110 STATE UI WITHDRAW   3295883       NY                       
              01/09/2014                   615,119.6400  CO-1110 STATE DEPOSITS      3295884       NY                       
              01/09/2014                  -615,119.6400  DI-2110 STATE UI WITHDRAW   3295901       NY                       
              01/10/2014                   684,246.8200  CO-1110 STATE DEPOSITS      3295902       NY                       
              01/10/2014                  -684,246.8200  DI-2110 STATE UI WITHDRAW   3295923       NY                       
              01/10/2014                   291,766.0200  CO-3450 BT TO STATE UI AC   3295924       NY                       
              01/10/2014                   -17,742.9600  DI-3460 CWC OUT             3295925       NY                       
              01/10/2014                  -123,912.3300  DI-3460 CWC OUT             3295926       NY                       
              01/10/2014                   -32,664.8800  DI-3460 CWC OUT             3295927       NY                       
              01/10/2014                  -102,601.9800  DI-3460 CWC OUT             3295928       NY                       
              01/10/2014                   -14,843.8700  DI-3460 CWC OUT             3295929       NY                       
              01/13/2014                   515,724.5400  CO-1110 STATE DEPOSITS      3295930       NY                       
              01/13/2014                  -515,724.5400  DI-2110 STATE UI WITHDRAW   3295951       NY                       
              01/14/2014                 1,285,283.1500  CO-1110 STATE DEPOSITS      3295952       NY                       
              01/14/2014                -1,285,283.1500  DI-2110 STATE UI WITHDRAW   3295969       NY                       
              01/15/2014                   284,837.0200  CO-1110 STATE DEPOSITS      3295970       NY                       
              01/15/2014                  -284,837.0200  DI-2110 STATE UI WITHDRAW   3295987       NY                       
              01/16/2014                 1,255,395.1100  CO-1110 STATE DEPOSITS      3295988       NY                       
              01/16/2014                -1,255,395.1100  DI-2110 STATE UI WITHDRAW   3296005       NY                       
              01/17/2014                 1,611,376.3800  CO-1110 STATE DEPOSITS      3296020       NY                       
              01/17/2014                -1,611,376.3800  DI-2110 STATE UI WITHDRAW   3296021       NY                       
              01/17/2014                   166,610.9000  CO-3450 BT TO STATE UI AC   3296022       NY                       
              01/17/2014                   -78,968.2500  DI-3460 CWC OUT             3296023       NY                       
              01/17/2014                    -3,693.2700  DI-3460 CWC OUT             3296024       NY                       
              01/17/2014                   -21,092.5500  DI-3460 CWC OUT             3296025       NY                       
              01/17/2014                   -62,856.8300  DI-3460 CWC OUT             3296026       NY                       
              01/21/2014                 5,344,346.0300  CO-1110 STATE DEPOSITS      3296027       NY                       
              01/21/2014                -3,330,980.0000  DI-2110 STATE UI WITHDRAW   3296050       NY                       
              01/21/2014                 2,848,180.1700  CO-3450 BT TO STATE UI AC   3296051       NY                       
              01/21/2014                   -10,297.8700  DI-3460 CWC OUT             3296052       NY                       
              01/21/2014                   -52,669.3500  DI-3460 CWC OUT             3296053       NY                       
              01/21/2014                  -140,763.9900  DI-3460 CWC OUT             3296054       NY                       
