Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                          429,722,589.0700                                            NY                       
              01/02/2008                -1,521,655.2800  DI-3480 FEDTAX W/D FROM U   3176663       NY                       
              01/02/2008               -22,810,000.0000  DI-2110 STATE UI WITHDRAW   3176799       NY                       
              01/03/2008                   443,320.2800  CO-1110 STATE DEPOSITS      3176985       NY                       
              01/03/2008                  -820,489.4300  DI-3480 FEDTAX W/D FROM U   3177253       NY                       
              01/03/2008               -18,053,000.0000  DI-2110 STATE UI WITHDRAW   3177387       NY                       
              01/04/2008                   116,848.7100  CO-1110 STATE DEPOSITS      3177698       NY                       
              01/04/2008                  -257,793.3000  DI-3480 FEDTAX W/D FROM U   3177731       NY                       
              01/04/2008                -8,981,000.0000  DI-2110 STATE UI WITHDRAW   3177874       NY                       
              01/07/2008                   796,061.8800  CO-1110 STATE DEPOSITS      3177952       NY                       
              01/07/2008                  -148,500.2300  DI-3480 FEDTAX W/D FROM U   3178204       NY                       
              01/07/2008                -3,398,000.0000  DI-2110 STATE UI WITHDRAW   3178354       NY                       
              01/08/2008                   902,582.3100  CO-1110 STATE DEPOSITS      3178907       NY                       
              01/08/2008                -1,463,951.5800  DI-3480 FEDTAX W/D FROM U   3178941       NY                       
              01/08/2008                   -28,081.6300  DI-3460 CWC OUT             3178959       NY                       
              01/08/2008                    -1,457.3300  DI-3460 CWC OUT             3178961       NY                       
              01/08/2008                   -18,877.2000  DI-3460 CWC OUT             3178963       NY                       
              01/08/2008                   -10,049.0400  DI-3460 CWC OUT             3178965       NY                       
              01/08/2008                  -976,622.4300  DI-3460 CWC OUT             3178967       NY                       
              01/08/2008                   -73,199.4100  DI-3460 CWC OUT             3178969       NY                       
              01/08/2008                   -14,998.7100  DI-3460 CWC OUT             3178971       NY                       
              01/08/2008               -21,331,000.0000  DI-2110 STATE UI WITHDRAW   3179102       NY                       
              01/09/2008                   347,588.6400  CO-1110 STATE DEPOSITS      3179414       NY                       
              01/09/2008                  -716,448.8800  DI-3480 FEDTAX W/D FROM U   3179447       NY                       
              01/09/2008               -17,375,000.0000  DI-2110 STATE UI WITHDRAW   3179625       NY                       
              01/10/2008                   343,566.9700  CO-1110 STATE DEPOSITS      3179954       NY                       
              01/10/2008                  -201,668.4100  DI-3480 FEDTAX W/D FROM U   3179987       NY                       
              01/10/2008                -7,791,000.0000  DI-2110 STATE UI WITHDRAW   3180205       NY                       
              01/11/2008                   334,393.3000  CO-1110 STATE DEPOSITS      3180516       NY                       
              01/11/2008                  -175,613.3800  DI-3480 FEDTAX W/D FROM U   3180553       NY                       
              01/11/2008                -3,580,000.0000  DI-2110 STATE UI WITHDRAW   3180744       NY                       
              01/14/2008                   137,811.2600  CO-1110 STATE DEPOSITS      3181061       NY                       
              01/14/2008                  -125,508.9700  DI-3480 FEDTAX W/D FROM U   3181093       NY                       
              01/14/2008                -2,373,000.0000  DI-2110 STATE UI WITHDRAW   3181226       NY                       
              01/14/2008                    -4,387.9700  DI-3460 CWC OUT             3181282       NY                       
              01/14/2008                    -3,228.8000  DI-3460 CWC OUT             3181284       NY                       
              01/14/2008                   -10,456.3300  DI-3460 CWC OUT             3181286       NY                       
              01/14/2008                   -24,100.7800  DI-3460 CWC OUT             3181288       NY                       
              01/14/2008                  -263,503.0100  DI-3460 CWC OUT             3181290       NY                       
              01/14/2008                   -65,125.9000  DI-3460 CWC OUT             3181292       NY                       
              01/14/2008                      -895.2700  DI-3460 CWC OUT             3181294       NY                       
              01/15/2008                 1,949,431.6900  CO-1110 STATE DEPOSITS      3181898       NY                       
