Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                          212,720,139.0300                                            AL                       
              05/01/2014               106,905,000.0000  11-10 STATE DEPOSITS        3297350       AL                       
              05/01/2014                   -25,000.0000  21-10 STATE UI WITHDRAWAL   3297367       AL                       
              05/01/2014                     3,776.6600  34-61 CWC IN                3297368       AL                       
              05/01/2014                    -3,601.2900  34-60 CWC OUT               3297369       AL                       
              05/02/2014                53,601,000.0000  11-10 STATE DEPOSITS        3297371       AL                       
              05/02/2014                  -200,000.0000  21-10 STATE UI WITHDRAWAL   3297392       AL                       
              05/02/2014                     3,736.6300  34-61 CWC IN                3297393       AL                       
              05/02/2014                    11,908.0600  34-61 CWC IN                3297394       AL                       
              05/02/2014                    16,203.8800  34-61 CWC IN                3297395       AL                       
              05/05/2014                 1,361,000.0000  11-10 STATE DEPOSITS        3297397       AL                       
              05/05/2014                  -109,038.5800  21-80 W/D FOR SPEC ADMIN    3297418       AL                       
              05/05/2014                  -144,000.0000  21-10 STATE UI WITHDRAWAL   3297419       AL                       
              05/06/2014                   151,000.0000  11-10 STATE DEPOSITS        3297421       AL                       
              05/06/2014                -3,598,400.0000  21-10 STATE UI WITHDRAWAL   3297438       AL                       
              05/06/2014                       -84.5400  34-60 CWC OUT               3297439       AL                       
              05/06/2014                      -165.4000  34-60 CWC OUT               3297440       AL                       
              05/06/2014                   -18,124.6200  34-60 CWC OUT               3297441       AL                       
              05/06/2014                   -30,276.2400  34-60 CWC OUT               3297442       AL                       
              05/07/2014                   275,000.0000  11-10 STATE DEPOSITS        3297444       AL                       
              05/07/2014                  -317,300.0000  21-10 STATE UI WITHDRAWAL   3297461       AL                       
              05/08/2014                   234,000.0000  11-10 STATE DEPOSITS        3297463       AL                       
              05/08/2014                   -74,000.0000  21-10 STATE UI WITHDRAWAL   3297480       AL                       
              05/08/2014                    10,103.7100  34-61 CWC IN                3297481       AL                       
              05/08/2014                  -160,423.0600  34-60 CWC OUT               3297482       AL                       
              05/08/2014                   -55,210.9700  34-60 CWC OUT               3297483       AL                       
              05/08/2014                       691.0600  34-61 CWC IN                3297484       AL                       
              05/09/2014                   252,000.0000  11-10 STATE DEPOSITS        3297486       AL                       
              05/09/2014                  -158,500.0000  21-10 STATE UI WITHDRAWAL   3297507       AL                       
              05/12/2014                   167,000.0000  11-10 STATE DEPOSITS        3297509       AL                       
              05/12/2014                  -154,000.0000  21-10 STATE UI WITHDRAWAL   3297530       AL                       
              05/12/2014                     2,440.6500  34-61 CWC IN                3297531       AL                       
              05/12/2014                   -36,364.4800  34-60 CWC OUT               3297532       AL                       
              05/12/2014                    -6,084.3300  34-60 CWC OUT               3297533       AL                       
              05/12/2014                   -41,376.2300  34-60 CWC OUT               3297534       AL                       
              05/13/2014                   211,000.0000  11-10 STATE DEPOSITS        3297536       AL                       
              05/13/2014                -3,630,700.0000  21-10 STATE UI WITHDRAWAL   3297553       AL                       
              05/13/2014                     4,176.7400  34-61 CWC IN                3297554       AL                       
              05/14/2014                   157,000.0000  11-10 STATE DEPOSITS        3297556       AL                       
              05/14/2014                  -312,300.0000  21-10 STATE UI WITHDRAWAL   3297573       AL                       
              05/15/2014                    31,000.0000  11-10 STATE DEPOSITS        3297575       AL                       
              05/15/2014                  -132,000.0000  21-10 STATE UI WITHDRAWAL   3297592       AL                       
              05/15/2014                    21,982.8300  34-61 CWC IN                3297593       AL                       
              05/15/2014                   -40,000.0000  34-60 CWC OUT               3297594       AL                       
              05/16/2014                    67,000.0000  11-10 STATE DEPOSITS        3297596       AL                       
              05/16/2014                  -170,550.0000  21-10 STATE UI WITHDRAWAL   3297617       AL                       
