Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                          159,701,986.3800                                            NY                       
              05/03/2010                83,432,565.3200  CO-1110 STATE DEPOSITS      3274622       NY                       
              05/03/2010                -3,895,980.0000  DI-2110 STATE UI WITHDRAW   3274643       NY                       
              05/04/2010               228,438,471.2300  CO-1110 STATE DEPOSITS      3274645       NY                       
              05/04/2010               -16,989,760.0000  DI-2110 STATE UI WITHDRAW   3274662       NY                       
              05/05/2010               733,700,459.0200  CO-1110 STATE DEPOSITS      3274664       NY                       
              05/05/2010               -29,519,560.0000  DI-2110 STATE UI WITHDRAW   3274681       NY                       
              05/06/2010               230,745,897.4200  CO-1110 STATE DEPOSITS      3274683       NY                       
              05/06/2010               -15,791,620.0000  DI-2110 STATE UI WITHDRAW   3274700       NY                       
              05/07/2010                31,402,206.3400  CO-1110 STATE DEPOSITS      3274702       NY                       
              05/07/2010                -5,275,640.0000  DI-2110 STATE UI WITHDRAW   3274723       NY                       
              05/07/2010                   138,914.5600  CO-3461 CWC IN              3274724       NY                       
              05/07/2010                -6,155,116.6600  DI-3460 CWC OUT             3274725       NY                       
              05/07/2010                   -25,539.8400  DI-3460 CWC OUT             3274726       NY                       
              05/07/2010                    -9,587.4900  DI-3460 CWC OUT             3274727       NY                       
              05/07/2010                  -156,006.0000  DI-3460 CWC OUT             3274728       NY                       
              05/07/2010                   -86,778.8300  DI-3460 CWC OUT             3274729       NY                       
              05/07/2010                   -22,952.5500  DI-3460 CWC OUT             3274730       NY                       
              05/07/2010                   -54,865.3300  DI-3460 CWC OUT             3274731       NY                       
              05/07/2010                   -12,145.1600  DI-3460 CWC OUT             3274732       NY                       
              05/07/2010                   -18,225.3700  DI-3460 CWC OUT             3274733       NY                       
              05/07/2010                  -245,556.0800  DI-3460 CWC OUT             3274734       NY                       
              05/07/2010                   -79,527.7800  DI-3460 CWC OUT             3274735       NY                       
              05/10/2010                10,716,624.7900  CO-1110 STATE DEPOSITS      3274736       NY                       
              05/10/2010                -3,800,520.0000  DI-2110 STATE UI WITHDRAW   3274758       NY                       
              05/10/2010                    31,394.2600  CO-3461 CWC IN              3274759       NY                       
              05/10/2010                    -6,233.4900  DI-3460 CWC OUT             3274760       NY                       
              05/10/2010                   -81,400.8000  DI-3460 CWC OUT             3274761       NY                       
              05/10/2010                   -46,726.2200  DI-3460 CWC OUT             3274762       NY                       
              05/10/2010                   -60,128.9500  DI-3460 CWC OUT             3274763       NY                       
              05/10/2010                   -45,473.4300  DI-3460 CWC OUT             3274764       NY                       
              05/10/2010                -1,082,034.6300  DI-3460 CWC OUT             3274765       NY                       
              05/10/2010                   -73,896.9000  DI-3460 CWC OUT             3274766       NY                       
              05/10/2010                  -232,434.9700  DI-3460 CWC OUT             3274767       NY                       
              05/10/2010                      -550.7200  DI-3460 CWC OUT             3274768       NY                       
              05/10/2010                    30,614.1700  CO-3461 CWC IN              3274769       NY                       
              05/10/2010                   106,977.3300  CO-3461 CWC IN              3274770       NY                       
              05/10/2010                    27,244.3400  CO-3461 CWC IN              3274771       NY                       
              05/10/2010                    37,420.0700  CO-3461 CWC IN              3274772       NY                       
              05/11/2010                19,518,539.3100  CO-1110 STATE DEPOSITS      3274774       NY                       
              05/11/2010               -18,145,580.0000  DI-2110 STATE UI WITHDRAW   3274791       NY                       
              05/11/2010                    20,124.5200  CO-3461 CWC IN              3274792       NY                       
              05/11/2010                     4,109.1900  CO-3461 CWC IN              3274793       NY                       
              05/11/2010                    32,854.0000  CO-3461 CWC IN              3274794       NY                       
              05/11/2010                   -20,187.6500  DI-3460 CWC OUT             3274795       NY                       
