Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                            8,038,324.9870                                            NY                       
              02/02/2015                17,257,531.9200  11-10 STATE DEPOSITS        3303059       NY                       
              02/02/2015                -3,299,400.0000  21-10 STATE UI WITHDRAWAL   3303080       NY                       
              02/02/2015               -13,958,131.9200  33-10 LOAN REPAYMNT FROM    3303081       NY                       
              02/03/2015                33,068,522.0000  11-10 STATE DEPOSITS        3303082       NY                       
              02/03/2015               -17,088,600.0000  21-10 STATE UI WITHDRAWAL   3303099       NY                       
              02/03/2015               -15,979,922.0000  33-10 LOAN REPAYMNT FROM    3303100       NY                       
              02/04/2015                38,689,867.1300  11-10 STATE DEPOSITS        3303101       NY                       
              02/04/2015               -22,481,620.0000  21-10 STATE UI WITHDRAWAL   3303196       NY                       
              02/04/2015                    -3,574.5200  34-60 CWC OUT               3303197       NY                       
              02/04/2015                   -21,026.8000  34-60 CWC OUT               3303198       NY                       
              02/04/2015                   -23,893.8600  34-60 CWC OUT               3303199       NY                       
              02/04/2015               -16,159,751.9500  33-10 LOAN REPAYMNT FROM    3303200       NY                       
              02/05/2015                51,590,497.0500  11-10 STATE DEPOSITS        3303201       NY                       
              02/05/2015               -10,325,380.0000  21-10 STATE UI WITHDRAWAL   3303218       NY                       
              02/05/2015               -41,265,117.0500  33-10 LOAN REPAYMNT FROM    3303219       NY                       
              02/06/2015                16,595,111.9400  11-10 STATE DEPOSITS        3303220       NY                       
              02/06/2015                -4,557,000.0000  21-10 STATE UI WITHDRAWAL   3303241       NY                       
              02/06/2015               -12,038,111.9400  33-10 LOAN REPAYMNT FROM    3303242       NY                       
              02/09/2015               125,309,390.1300  11-10 STATE DEPOSITS        3303243       NY                       
              02/09/2015                -3,170,000.0000  21-10 STATE UI WITHDRAWAL   3303264       NY                       
              02/09/2015              -122,139,390.1300  33-10 LOAN REPAYMNT FROM    3303266       NY                       
              02/10/2015                 9,356,977.7400  11-10 STATE DEPOSITS        3303267       NY                       
              02/10/2015                -9,356,977.7400  21-10 STATE UI WITHDRAWAL   3303284       NY                       
              02/11/2015                 2,626,328.2100  11-10 STATE DEPOSITS        3303285       NY                       
              02/11/2015                -2,701,875.4000  21-10 STATE UI WITHDRAWAL   3303302       NY                       
              02/11/2015                   547,399.9600  34-50 BT TO STATE UI ACCO   3303303       NY                       
              02/11/2015                  -101,719.0400  34-60 CWC OUT               3303304       NY                       
              02/11/2015                    -1,254.6900  34-60 CWC OUT               3303305       NY                       
              02/11/2015                  -444,426.2300  34-60 CWC OUT               3303306       NY                       
              02/11/2015                    25,000.1400  34-61 CWC IN                3303307       NY                       
              02/11/2015                    73,300.4200  34-61 CWC IN                3303308       NY                       
              02/11/2015                    50,547.0500  34-61 CWC IN                3303309       NY                       
              02/11/2015                   -73,300.4200  33-10 LOAN REPAYMNT FROM    3303310       NY                       
              02/12/2015                 1,932,647.7600  11-10 STATE DEPOSITS        3303311       NY                       
              02/12/2015                -1,948,169.8100  21-10 STATE UI WITHDRAWAL   3303328       NY                       
              02/12/2015                    10,801.2600  34-61 CWC IN                3303329       NY                       
              02/12/2015                    30,441.7000  34-61 CWC IN                3303330       NY                       
              02/12/2015                    57,893.8400  34-61 CWC IN                3303331       NY                       
              02/12/2015                    13,577.7700  34-61 CWC IN                3303332       NY                       
              02/12/2015                    43,416.1800  34-61 CWC IN                3303333       NY                       
              02/12/2015                    15,522.0500  34-61 CWC IN                3303334       NY                       
              02/12/2015                    41,400.7700  34-61 CWC IN                3303335       NY                       
              02/12/2015                  -197,531.5200  33-10 LOAN REPAYMNT FROM    3303337       NY                       
