Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                                    0.0000                                            NY                       
              05/01/2007                63,563,057.6900  CO-1110 STATE DEPOSITS      3004423       NY                       
              05/01/2007                  -986,358.9700  DI-3480 FEDTAX W/D FROM U   3005588       NY                       
              05/01/2007                  -560,665.7200  DI-3460 CWC OUT             3005698       NY                       
              05/01/2007                   -14,776.6100  DI-3460 CWC OUT             3005700       NY                       
              05/01/2007               -18,264,000.0000  DI-2110 STATE UI WITHDRAW   3005966       NY                       
              05/01/2007               -43,737,256.3900  DI-3310 LOAN REPAYMNT FRO   3006033       NY                       
              05/01/2007                   262,054.4500  DI-3120 REFUND OF REDUCED   3006057       NY                       
              05/02/2007               132,609,459.6000  CO-1110 STATE DEPOSITS      3006201       NY                       
              05/02/2007                  -591,730.4800  DI-3480 FEDTAX W/D FROM U   3006240       NY                       
              05/02/2007               -11,906,000.0000  DI-2110 STATE UI WITHDRAW   3006381       NY                       
              05/02/2007               -97,461,920.6300  DI-3310 LOAN REPAYMNT FRO   3006562       NY                       
              05/03/2007               255,995,138.2300  CO-1110 STATE DEPOSITS      3006578       NY                       
              05/03/2007                  -184,208.1500  DI-3480 FEDTAX W/D FROM U   3007003       NY                       
              05/03/2007                -4,450,000.0000  DI-2110 STATE UI WITHDRAW   3007135       NY                       
              05/03/2007                    38,353.9400  CO-3461 CWC IN              3007201       NY                       
              05/03/2007                     1,943.1000  CO-3461 CWC IN              3007241       NY                       
              05/03/2007                    24,368.8600  CO-3461 CWC IN              3007289       NY                       
              05/04/2007               543,954,795.0600  CO-1110 STATE DEPOSITS      3007321       NY                       
              05/04/2007                  -156,562.9200  DI-3480 FEDTAX W/D FROM U   3007732       NY                       
              05/04/2007                -2,972,000.0000  DI-2110 STATE UI WITHDRAW   3007863       NY                       
              05/04/2007                   -25,945.8900  DI-3460 CWC OUT             3007917       NY                       
              05/04/2007                   -16,629.8600  DI-3460 CWC OUT             3007919       NY                       
              05/04/2007                    -8,354.4500  DI-3460 CWC OUT             3007921       NY                       
              05/04/2007                   -91,884.3500  DI-3460 CWC OUT             3007923       NY                       
              05/04/2007                  -121,648.7300  DI-3460 CWC OUT             3007925       NY                       
              05/04/2007                   -43,413.6300  DI-3460 CWC OUT             3007927       NY                       
              05/07/2007               153,471,709.9900  CO-1110 STATE DEPOSITS      3008039       NY                       
              05/07/2007                   -96,594.9300  DI-3480 FEDTAX W/D FROM U   3008466       NY                       
              05/07/2007                    10,434.2400  CO-3461 CWC IN              3008488       NY                       
              05/07/2007                     7,059.1600  CO-3461 CWC IN              3008612       NY                       
              05/07/2007                -1,636,000.0000  DI-2110 STATE UI WITHDRAW   3008739       NY                       
              05/08/2007                23,490,115.9300  CO-1110 STATE DEPOSITS      3008821       NY                       
              05/08/2007                  -930,124.6100  DI-3480 FEDTAX W/D FROM U   3009743       NY                       
              05/08/2007                   167,348.6100  CO-3461 CWC IN              3009876       NY                       
              05/08/2007               -16,717,000.0000  DI-2110 STATE UI WITHDRAW   3010023       NY                       
              05/09/2007                  -586,206.5100  DI-3480 FEDTAX W/D FROM U   3010512       NY                       
              05/09/2007                   100,932.1600  CO-3461 CWC IN              3010578       NY                       
              05/09/2007                    85,741.2400  CO-3461 CWC IN              3010600       NY                       
              05/09/2007                    38,299.0000  CO-3461 CWC IN              3010606       NY                       
              05/09/2007                   126,860.3000  CO-3461 CWC IN              3010610       NY                       
              05/09/2007                    12,560.6400  CO-3461 CWC IN              3010624       NY                       
              05/09/2007                     9,184.4900  CO-3461 CWC IN              3010706       NY                       
              05/09/2007               -11,453,000.0000  DI-2110 STATE UI WITHDRAW   3010852       NY                       
