Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                        1,148,202,128.7570                                            NY                       
              05/01/2017                36,309,628.1400  11-10 STATE DEPOSITS        3317670       NY                       
              05/01/2017                37,524,582.2200  11-10 STATE DEPOSITS        3317671       NY                       
              05/01/2017               -20,380,000.0000  21-10 STATE UI WITHDRAWAL   3317692       NY                       
              05/01/2017                    14,857.2900  34-61 CWC IN                3317693       NY                       
              05/01/2017                    18,614.9400  34-61 CWC IN                3317694       NY                       
              05/01/2017                    32,700.4300  34-61 CWC IN                3317695       NY                       
              05/01/2017                    45,867.0200  34-61 CWC IN                3317696       NY                       
              05/01/2017                    12,196.9700  34-61 CWC IN                3317697       NY                       
              05/02/2017                91,608,413.7200  11-10 STATE DEPOSITS        3317699       NY                       
              05/02/2017               174,829,595.5900  11-10 STATE DEPOSITS        3317700       NY                       
              05/02/2017                      -176.3200  21-39 SEA PROMO/ENROLL      3317717       NY                       
              05/02/2017                      -478.5300  21-36 STC IMPR/IMPL         3317718       NY                       
              05/02/2017                    -6,457.7700  21-37 STC PROMO/ENROLL      3317719       NY                       
              05/02/2017                -7,944,000.0000  21-10 STATE UI WITHDRAWAL   3317720       NY                       
              05/02/2017                    26,639.9600  34-61 CWC IN                3317721       NY                       
              05/02/2017                   393,827.3100  34-61 CWC IN                3317722       NY                       
              05/03/2017                13,877,934.3000  11-10 STATE DEPOSITS        3317724       NY                       
              05/03/2017               725,628,048.6900  11-10 STATE DEPOSITS        3317725       NY                       
              05/03/2017                -3,925,000.0000  21-10 STATE UI WITHDRAWAL   3317742       NY                       
              05/03/2017                    42,682.8600  34-61 CWC IN                3317743       NY                       
              05/03/2017                    14,734.3200  34-61 CWC IN                3317744       NY                       
              05/03/2017                   385,236.8100  34-61 CWC IN                3317745       NY                       
              05/03/2017                    28,425.3000  34-61 CWC IN                3317746       NY                       
              05/03/2017                    10,712.6800  34-61 CWC IN                3317747       NY                       
              05/03/2017                    18,559.0900  34-61 CWC IN                3317748       NY                       
              05/03/2017                    41,218.8200  34-61 CWC IN                3317749       NY                       
              05/04/2017                36,118,771.5200  11-10 STATE DEPOSITS        3317751       NY                       
              05/04/2017                 6,200,744.4100  11-10 STATE DEPOSITS        3317752       NY                       
              05/04/2017                -1,671,000.0000  21-10 STATE UI WITHDRAWAL   3317769       NY                       
              05/04/2017                    30,940.3500  34-61 CWC IN                3317770       NY                       
              05/04/2017                    10,554.0100  34-61 CWC IN                3317771       NY                       
              05/04/2017                  -583,939.1000  34-60 CWC OUT               3317772       NY                       
              05/04/2017                   -53,793.5200  34-60 CWC OUT               3317773       NY                       
              05/04/2017                  -309,213.5300  34-60 CWC OUT               3317774       NY                       
              05/04/2017                   -93,279.3400  34-60 CWC OUT               3317775       NY                       
              05/04/2017                   -30,496.8700  34-60 CWC OUT               3317776       NY                       
              05/04/2017                   -49,409.0800  34-60 CWC OUT               3317777       NY                       
              05/04/2017                    -8,280.2700  34-60 CWC OUT               3317778       NY                       
              05/04/2017                   -22,815.9900  34-60 CWC OUT               3317779       NY                       
              05/04/2017                    12,726.5300  34-61 CWC IN                3317780       NY                       
              05/05/2017                 1,378,985.3800  11-10 STATE DEPOSITS        3317782       NY                       
              05/05/2017                36,635,974.0100  11-10 STATE DEPOSITS        3317783       NY                       
              05/05/2017                -1,687,000.0000  21-10 STATE UI WITHDRAWAL   3317804       NY                       
              05/05/2017                     6,784.7900  34-61 CWC IN                3317805       NY                       
              05/05/2017                    30,849.6600  34-61 CWC IN                3317806       NY                       
              05/08/2017                   281,895.8800  11-10 STATE DEPOSITS        3317808       NY                       
