Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                           31,103,489.6500                                            NY                       
              04/01/2011                  -337,423.6000  CO-5440 DIST QUART EARNIN   3280184       NY                       
              04/01/2011                 1,720,218.7400  CO-1110 STATE DEPOSITS      3280185       NY                       
              04/01/2011                -1,720,218.7400  DI-2110 STATE UI WITHDRAW   3280186       NY                       
              04/01/2011                   173,686.4500  CO-3461 CWC IN              3280187       NY                       
              04/01/2011                    97,124.7000  CO-3461 CWC IN              3280188       NY                       
              04/01/2011                  -270,811.1500  DI-3310 LOAN REPAYMNT FRO   3280189       NY                       
              04/04/2011                 1,123,358.1100  CO-1110 STATE DEPOSITS      3280191       NY                       
              04/04/2011                -1,123,358.1100  DI-2110 STATE UI WITHDRAW   3280214       NY                       
              04/05/2011                 2,477,856.8400  CO-1110 STATE DEPOSITS      3280215       NY                       
              04/05/2011                   138,389.8000  CO-3450 BT TO STATE UI AC   3280232       NY                       
              04/05/2011                -2,483,601.1300  DI-2110 STATE UI WITHDRAW   3280233       NY                       
              04/05/2011                     5,744.2900  CO-3461 CWC IN              3280234       NY                       
              04/05/2011                   -23,533.7600  DI-3460 CWC OUT             3280235       NY                       
              04/05/2011                  -114,856.0400  DI-3460 CWC OUT             3280236       NY                       
              04/06/2011                 1,587,256.1900  CO-1110 STATE DEPOSITS      3280237       NY                       
              04/06/2011                -1,587,256.1900  DI-2110 STATE UI WITHDRAW   3280254       NY                       
              04/07/2011                 1,935,260.9800  CO-1110 STATE DEPOSITS      3280255       NY                       
              04/07/2011                 4,441,026.3000  CO-3450 BT TO STATE UI AC   3280272       NY                       
              04/07/2011                -1,935,260.9800  DI-2110 STATE UI WITHDRAW   3280273       NY                       
              04/07/2011                -4,277,962.3000  DI-3460 CWC OUT             3280274       NY                       
              04/07/2011                  -129,698.3100  DI-3460 CWC OUT             3280275       NY                       
              04/07/2011                   -33,365.6900  DI-3460 CWC OUT             3280276       NY                       
              04/08/2011                 4,587,280.0000  CO-1110 STATE DEPOSITS      3280277       NY                       
              04/08/2011                -3,598,930.0000  DI-2110 STATE UI WITHDRAW   3280298       NY                       
              04/08/2011                  -988,350.0000  DI-3310 LOAN REPAYMNT FRO   3280299       NY                       
              04/11/2011                 6,431,655.6800  CO-1110 STATE DEPOSITS      3280300       NY                       
              04/11/2011                -3,513,350.0000  DI-2110 STATE UI WITHDRAW   3280321       NY                       
              04/11/2011                -2,918,305.6800  DI-3310 LOAN REPAYMNT FRO   3280322       NY                       
              04/12/2011                 6,657,892.5800  CO-1110 STATE DEPOSITS      3280323       NY                       
              04/12/2011                -6,750,176.5400  DI-2110 STATE UI WITHDRAW   3280340       NY                       
              04/12/2011                    92,283.9600  CO-3461 CWC IN              3280341       NY                       
              04/13/2011                 4,445,376.3600  CO-1110 STATE DEPOSITS      3280342       NY                       
              04/13/2011                   196,322.0300  CO-3450 BT TO STATE UI AC   3280359       NY                       
              04/13/2011                -4,445,376.3600  DI-2110 STATE UI WITHDRAW   3280360       NY                       
              04/13/2011                    -5,585.8300  DI-3460 CWC OUT             3280361       NY                       
              04/13/2011                  -108,746.8400  DI-3460 CWC OUT             3280362       NY                       
              04/13/2011                    -9,079.2800  DI-3460 CWC OUT             3280363       NY                       
              04/13/2011                   -49,940.5100  DI-3460 CWC OUT             3280364       NY                       
              04/13/2011                    -1,006.1300  DI-3460 CWC OUT             3280365       NY                       
              04/13/2011                   -21,963.4400  DI-3460 CWC OUT             3280366       NY                       
              04/14/2011                 7,846,016.7800  CO-1110 STATE DEPOSITS      3280367       NY                       
              04/14/2011                -7,846,016.7800  DI-2110 STATE UI WITHDRAW   3280384       NY                       
