Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                          528,785,672.9700                                            AL                       
              10/03/2016                    42,000.0000  11-10 STATE DEPOSITS        3312908       AL                       
              10/03/2016                   -95,450.0000  21-10 STATE UI WITHDRAWAL   3312909       AL                       
              10/04/2016                    99,000.0000  11-10 STATE DEPOSITS        3312911       AL                       
              10/04/2016                -2,562,700.0000  21-10 STATE UI WITHDRAWAL   3312928       AL                       
              10/05/2016                   233,000.0000  11-10 STATE DEPOSITS        3312952       AL                       
              10/05/2016                  -208,800.0000  21-10 STATE UI WITHDRAWAL   3312953       AL                       
              10/05/2016                   -31,821.2800  34-60 CWC OUT               3312954       AL                       
              10/06/2016                   119,000.0000  11-10 STATE DEPOSITS        3312956       AL                       
              10/06/2016                  -145,900.0000  21-10 STATE UI WITHDRAWAL   3312973       AL                       
              10/07/2016                   318,000.0000  11-10 STATE DEPOSITS        3312975       AL                       
              10/07/2016                  -112,200.0000  21-10 STATE UI WITHDRAWAL   3312998       AL                       
              10/07/2016                   -36,763.2400  34-60 CWC OUT               3312999       AL                       
              10/07/2016                    -3,426.3500  34-60 CWC OUT               3313000       AL                       
              10/07/2016                    -4,284.0900  34-60 CWC OUT               3313001       AL                       
              10/11/2016                    47,000.0000  11-10 STATE DEPOSITS        3313003       AL                       
              10/11/2016                -2,552,700.0000  21-10 STATE UI WITHDRAWAL   3313026       AL                       
              10/11/2016                   174,349.6700  34-61 CWC IN                3313027       AL                       
              10/12/2016                   433,000.0000  11-10 STATE DEPOSITS        3313029       AL                       
              10/12/2016                  -344,500.0000  21-10 STATE UI WITHDRAWAL   3313046       AL                       
              10/12/2016                     5,700.5300  34-61 CWC IN                3313047       AL                       
              10/12/2016                   -22,455.5500  34-60 CWC OUT               3313048       AL                       
              10/12/2016                    -5,949.6200  34-60 CWC OUT               3313049       AL                       
              10/12/2016                   -99,769.5400  34-60 CWC OUT               3313050       AL                       
              10/12/2016                     3,775.8400  34-61 CWC IN                3313051       AL                       
              10/12/2016                    18,021.5300  34-61 CWC IN                3313052       AL                       
              10/13/2016                  -151,250.0000  21-10 STATE UI WITHDRAWAL   3313070       AL                       
              10/13/2016                     1,929.2600  34-61 CWC IN                3313071       AL                       
              10/13/2016                     7,710.0000  34-61 CWC IN                3313072       AL                       
              10/13/2016                    11,490.4900  34-61 CWC IN                3313073       AL                       
              10/13/2016                    49,953.3600  34-61 CWC IN                3313074       AL                       
              10/13/2016                    10,490.9900  34-61 CWC IN                3313075       AL                       
              10/13/2016                     2,894.1500  34-61 CWC IN                3313076       AL                       
              10/14/2016                    68,000.0000  11-10 STATE DEPOSITS        3313078       AL                       
              10/14/2016                  -121,700.0000  21-10 STATE UI WITHDRAWAL   3313099       AL                       
              10/14/2016                   213,403.3900  34-61 CWC IN                3313100       AL                       
              10/14/2016                     2,930.2700  34-61 CWC IN                3313101       AL                       
              10/14/2016                     7,384.6000  34-61 CWC IN                3313102       AL                       
              10/14/2016                    -1,325.3400  34-60 CWC OUT               3313103       AL                       
              10/14/2016                        88.5000  34-61 CWC IN                3313104       AL                       
              10/17/2016                   250,000.0000  11-10 STATE DEPOSITS        3313106       AL                       
              10/17/2016                  -118,450.0000  21-10 STATE UI WITHDRAWAL   3313127       AL                       
              10/17/2016                    19,169.0700  34-61 CWC IN                3313128       AL                       
              10/17/2016                     3,073.8000  34-61 CWC IN                3313129       AL                       
              10/17/2016                     1,720.9600  34-61 CWC IN                3313130       AL                       
              10/17/2016                     4,049.9300  34-61 CWC IN                3313131       AL                       
              10/18/2016                   385,000.0000  11-10 STATE DEPOSITS        3313133       AL                       
