,,Employment and Wage Data,,,,,,Financial data (in thousands),,,,,,,Significant measures,,,,,,,,Solvency Data,,,,,,,,Claims data,,,,,,,,,,,Reimburseable Data,,,,,,,,,,Extended Benefits Data,,,,,,,,,Emergency Federal Programs,,,,
,,,,,,,,,,,,,,,Percent of total wages,,,Average employer tax rate as a % of taxable wages,Reserve ratio(% of total wages) as multiple of highest 12-month benefit cost rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Average monthly covered employment,Wages paid in covered employment during year (thousands),,Ratio of taxable to total wages,Average weekly wage in covered employment,,,,,,,,,Contributions collected,Benefits paid,Average employer tax rate,,Reserve ratio,High Cost,,Multiple,,,,,,,,,Number of first payments,Weeks compensated for all unemployment,Claimants exhausting benefits,,Average duration (in weeks),,,Weekly insured unemployed,,Average weekly benefit,,Average monthly covered employment,,,Total wages (in thousands),,,Average weekly wage in total covered employment,Benefits paid (in thousands),,,Financial data (in thousands),,,,Claims data,,,,,Financial data (in thousands),Claims data,,,
,,,Total,Taxable,,Total,Taxable,Contributions collected,Interest credited to trust fund,Benefits paid,Reserves as of Dec 31,Year End federal loans to state reserve funds balance,Year End net reserve balance,Year End taxable wage base,,,,,,Rate,12 mos. ending,,High Cost Years in last 20 years or 3 recessions,,,High Cost Rates for High Cost Years,,,3-year Average High Cost Rate,Average High Cost Multiple,,,Number,Exhaustion Rate (% of first payments),Potential,Actual,Actual for exhaustees,Average number,Percent of cov. employ.,Amount,Ratio to average weekly total wage,Total,Public,Nonprofit,Total,Public,Nonprofit,,Total,Public,Nonprofit,Total extended benefits paid,State share of extended benefits paid,Federal share of extended benefits paid,Federal share of regular benefits paid,Number of first payments,Weeks compensated for all unemployment,Number of claimants exhausting benefits,Average weekly benefit amount,Average compensable duration (actual),Total benefits paid,Number of first payments,Weeks compensated,Number of claimants exhausting benefits,Average weekly benefit amount
YR,ST,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c22a,c22a,c22a,c22b,c22b,c22b,c22c,c22d,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57
AK    ,  1946,         17732,         53613,         50381,    .940,   58.14,   54.64,          1150,           165,           434,          9343,             0,          9343,          3000,  2.15,   .81,  2.53,  2.70, 17.43,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          2335,         27259,           757,  28.9,  15.6,  11.7,  15.0,             0,    .0,   16.03,   .276,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1947,         24801,        100078,         91390,    .913,   77.60,   70.86,          1951,           194,           556,         10931,             0,         10931,          3000,  1.95,   .56,  1.82,  2.09, 10.92,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          3024,         25458,           760,  31.2,  17.0,   8.4,  14.6,           359,   1.4,   22.01,   .284,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1948,         23479,        103229,         87476,    .847,   84.55,   71.65,          1574,           229,          1409,         11325,             0,         11325,          3000,  1.52,  1.36,  1.45,  1.73, 10.97,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          6288,         60981,          1467,  27.1,  19.0,   9.7,  14.4,           925,   3.9,   23.45,   .277,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1949,         23089,        106666,         87600,    .821,   88.84,   72.96,          1364,           224,          2578,         10335,             0,         10335,          3000,  1.28,  2.42,  1.23,  1.50,  9.69,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          8862,        109292,          2677,  31.2,  18.6,  12.3,  14.6,          1162,   5.0,   23.85,   .268,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1950,         25208,        120897,         98161,    .812,   92.23,   74.89,          1930,           189,          3313,          9141,             0,          9141,          3000,  1.60,  2.74,  1.85,  2.29,  7.56,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,         10815,        131756,          4032,  34.9,  18.4,  12.2,  13.9,          1847,   7.3,   25.53,   .277,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1951,         32605,        186090,        145738,    .783,  109.76,   85.96,          2423,           189,          1785,          9968,             0,          9968,          3000,  1.30,   .96,  2.07,  2.70,  5.36,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          7462,         70751,          2244,  31.5,  17.7,   9.5,  12.0,           913,   2.8,   25.52,   .233,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1952,         32882,        203292,        153235,    .754,  118.89,   89.62,          3775,           194,          4171,          9766,             0,          9766,          3000,  1.86,  2.05,  2.05,  2.70,  4.80,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,         13335,        137425,          3345,  27.0,  19.2,  10.3,  13.4,          2213,   6.7,   30.76,   .259,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1953,         30618,        191834,        138331,    .721,  120.49,   86.88,          3809,           181,          5641,          8115,             0,          8115,          3000,  1.99,  2.94,  1.94,  2.70,  4.23,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,         17945,        173923,          3090,  19.7,  20.8,   9.7,  15.5,          3213,  10.4,   32.87,   .273,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1954,         27281,        171002,        119421,    .698,  120.54,   84.18,          3330,           111,          7759,          3797,             0,          3797,          3000,  1.95,  4.54,  1.89,  2.70,  2.22,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,         16306,        229210,          2597,  16.8,  23.9,  14.1,  23.3,          3773,  13.8,   33.67,   .279,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1955,         28763,        172884,        128004,    .740,  115.59,   85.58,          3825,            20,          6818,          3825,          3000,           825,          3600,  2.21,  3.94,  2.00,  2.70,   .00,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,         11779,        207308,          3623,  27.2,  24.9,  17.6,  22.3,          3071,  10.6,   33.17,   .287,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1956,         30493,        215823,        150465,    .697,  136.11,   94.89,          4799,             4,          4972,           698,             0,           698,          3600,  2.22,  2.30,  1.88,  2.70,   .32,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          9095,        145869,          1848,  19.1,  25.2,  16.0,  24.2,          2477,   8.1,   34.55,   .254,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1957,         29525,        199872,        150924,    .755,  130.18,   98.30,          4908,             1,          6785,          1550,          2630,         -1080,          4200,  2.46,  3.39,  2.04,  2.70,   .00,   .00,                  ,   .00,  1954,  1955,  1957,   4.54,   3.94,   3.39,   3.96,    .00,          9456,        174221,          2330,  25.2,  25.0,  18.4,  24.3,          3223,  10.9,   36.24,   .278,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1958,         28693,        198398,        142811,    .720,  132.97,   95.72,          4603,             0,          7783,          4050,          8265,         -4215,          4200,  2.32,  3.92,  1.94,  2.70,   .00,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,    .00,         11080,        217793,          3747,  32.0,  25.2,  19.7,  24.8,          3988,  13.9,   36.16,   .272,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1959,         30241,        216182,        151746,    .702,  137.47,   96.50,          4878,             0,          6320,          2608,          8265,         -5657,          4200,  2.26,  2.92,  1.90,  2.70,   .00,   .00,                  ,   .00,  1954,  1955,  1958,   4.54,   3.94,   3.92,   4.13,    .00,          9086,        176241,          3093,  32.7,  25.2,  19.4,  24.6,          3503,  11.5,   36.27,   .264,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
